date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests
3/3/20,,,,,108,108
4/3/20,,,,,3,111
5/3/20,,,,,,
6/3/20,,,,,9,120
7/3/20,,,,,7,127
8/3/20,3,3,,,10,137
9/3/20,3,0,,,10,147
10/3/20,3,0,,,16,163
11/3/20,3,0,,,24,187
12/3/20,3,0,,,24,211
13/3/20,3,0,,,30,241
14/3/20,3,0,,,27,268
15/3/20,5,2,,,25,293
16/3/20,8,3,,,49,342
17/3/20,10,2,,,39,381
18/3/20,14,4,1,1,46,427
19/3/20,17,3,1,0,36,463
20/3/20,20,3,1,0,36,499
21/3/20,25,5,2,1,65,564
22/3/20,27,2,2,0,56,620
23/3/20,33,6,3,1,92,712
24/3/20,39,6,4,1,82,794
25/3/20,39,0,5,1,126,920
26/3/20,44,5,5,0,106,1026
27/3/20,48,4,5,0,50,1076
28/3/20,48,0,5,0,109,1185
29/3/20,48,0,5,0,153,1338
30/3/20,49,1,5,0,264,1602
31/3/20,51,2,5,0,157,1759
1/4/20,54,3,6,1,147,1906
2/4/20,56,2,6,0,207,2113
3/4/20,61,5,6,0,434,2547
4/4/20,70,9,8,2,367,2914
5/4/20,88,18,9,1,696,3610
6/4/20,123,35,12,3,792,4402
7/4/20,164,41,17,5,981,5383
8/4/20,218,54,20,3,1097,6480
9/4/20,330,112,21,1,1184,7664
10/4/20,424,94,27,6,649,8313
11/4/20,482,58,30,3,1340,9653
12/4/20,621,139,34,4,1570,11223
13/4/20,803,182,39,5,1905,13128
14/4/20,1012,209,46,7,1740,14868
15/4/20,1231,219,50,4,2135,17003
16/4/20,1572,341,60,10,2190,19193
17/4/20,1838,266,75,15,2114,21307
18/4/20,2144,306,84,9,2634,23941
19/4/20,2456,312,91,7,2663,26604
20/4/20,2948,492,101,10,2974,29578
21/4/20,3382,434,110,9,3096,32674
22/4/20,3772,390,120,10,3416,36090
23/4/20,4186,414,127,7,3686,39776
24/4/20,4689,503,131,4,3337,43113
25/4/20,4998,309,140,9,3476,46589
26/4/20,5416,418,145,5,3812,50401
27/4/20,5913,497,152,7,4332,54733
28/4/20,6462,549,155,3,4968,59701
29/4/20,7103,641,163,8,4965,64666
30/4/20,7667,564,168,5,5573,70239
1/5/20,8238,571,170,2,5827,76066
2/5/20,8790,552,175,5,5368,81434
3/5/20,9455,665,177,2,6260,87694
4/5/20,10143,688,182,5,5711,93405
5/5/20,10929,786,183,1,,
6/5/20,11719,790,186,3,6241,99646
7/5/20,12425,706,199,13,5867,105513
8/5/20,13134,709,206,7,5941,111454
9/5/20,13770,636,214,8,5465,116919
10/5/20,14657,887,228,14,5738,122657
11/5/20,15691,1034,239,11,7208,129865
12/5/20,16660,969,250,11,6773,136638
13/5/20,17822,1162,269,19,7900,144538
14/5/20,18863,1041,283,14,7392,151930
15/5/20,20065,1202,298,15,8582,160512
16/5/20,20995,930,314,16,6782,167294
17/5/20,22268,1273,328,14,8114,175408
18/5/20,23870,1602,349,21,9788,185196
19/5/20,25121,1251,370,21,8449,193645
20/5/20,26738,1617,386,16,10260,203905
21/5/20,28511,1773,408,22,10262,214167
22/5/20,30205,1694,432,24,9727,223894
23/5/20,32078,1873,452,20,10834,234728
24/5/20,33610,1532,480,28,8908,243636
25/5/20,35585,1975,501,21,9451,253087
26/5/20,36751,1166,522,21,5407,258494
27/5/20,38292,1541,544,22,8015,266509
28/5/20,40321,2029,559,15,9310,275819
29/5/20,42844,2523,582,23,11301,287120
30/5/20,44608,1764,610,28,9997,297117
31/5/20,47153,2545,650,40,11876,308993
1/6/20,49534,2381,672,22,11339,320332
2/6/20,52445,2911,709,37,12704,333036
3/6/20,55140,2695,746,37,12510,345546
4/6/20,57563,2423,781,35,12694,358240
5/6/20,60391,2828,811,30,14088,372328
6/6/20,63026,2635,846,35,12486,384814
7/6/20,65769,2743,888,42,13136,397950
8/6/20,68504,2735,930,42,12944,410894
9/6/20,71675,3171,975,45,14664,425558
10/6/20,74865,3190,1012,37,15965,441523
11/6/20,78052,3187,1049,37,15772,457295
12/6/20,81523,3471,1095,46,15990,473285
13/6/20,84379,2856,1139,44,16638,489923
14/6/20,87520,3141,1171,32,14505,504428
15/6/20,90619,3099,1209,38,15038,519466
16/6/20,94481,3862,1262,53,17214,536680
17/6/20,98489,4008,1305,43,17527,554207
18/6/20,102292,3803,1343,38,16259,570466
19/6/20,105535,3243,1388,45,15045,585511
20/6/20,108775,3240,1425,37,14031,599542
21/6/20,112306,3531,1464,39,15585,615127
22/6/20,115786,3480,1502,38,15555,630682
23/6/20,119198,3412,1545,43,16292,646974
24/6/20,122660,3462,1582,37,16433,663407
25/6/20,126606,3946,1621,39,17999,681406
26/6/20,130474,3868,1661,40,18498,699904
27/6/20,133978,3504,1695,34,15157,715061
28/6/20,137787,3809,1738,43,18099,733160
29/6/20,141801,4014,1783,45,17837,750997
30/6/20,145483,3682,1847,64,18426,769423
1/7/20,149258,3775,1888,41,17875,787298
2/7/20,153277,4019,1926,38,18362,805660
3/7/20,156391,3114,1968,42,14650,820310
4/7/20,159679,3288,1997,29,14727,835037
5/7/20,162417,2738,2052,55,13988,849025
6/7/20,165618,3201,2096,44,14245,863270
7/7/20,168645,3027,2151,55,13173,876443
8/7/20,172134,3489,2197,46,15672,892115
9/7/20,175494,3360,2238,41,15632,907747
10/7/20,178443,2949,2275,37,13488,921235
11/7/20,181129,2686,2305,30,11193,932428
12/7/20,183795,2666,2352,47,11059,943487
13/7/20,186894,3099,2391,39,12423,955910
14/7/20,190057,3163,2424,33,13453,969363
15/7/20,193590,3533,2457,33,14002,983365
16/7/20,196323,2733,2496,39,12889,996254
17/7/20,199357,3034,2547,51,13460,1009714
18/7/20,202066,2709,2581,34,10923,1020637
19/7/20,204525,2459,2618,37,10625,1031262
20/7/20,207453,2928,2668,50,13362,1044624
21/7/20,210510,3057,2709,41,12898,1057522
22/7/20,213254,2744,2751,42,12050,1069572
23/7/20,216110,2856,2801,50,12398,1081970
24/7/20,218658,2548,2836,35,12027,1093997
25/7/20,221178,2520,2874,38,10446,1104443
26/7/20,223453,2275,2928,54,10078,1114521
27/7/20,226225,2772,2965,37,12859,1127380
28/7/20,229185,2960,3000,35,12714,1140094
29/7/20,232194,3009,3035,35,14127,1154221
30/7/20,234889,2695,3083,48,12937,1167158
31/7/20,237661,2772,3111,28,12614,1179772
1/8/20,239860,2199,3132,21,8802,1188574
2/8/20,240746,886,3154,22,3684,1192258
3/8/20,242102,1356,3184,30,4249,1196507
4/8/20,244020,1918,3234,50,7712,1204219
5/8/20,246674,2654,3267,33,11160,1215379
6/8/20,249651,2977,3306,39,12708,1228087
7/8/20,252502,2851,3333,27,12699,1240786
8/8/20,255113,2611,3365,32,11737,1252523
9/8/20,257600,2487,3399,34,10759,1263282
10/8/20,260507,2907,3438,39,12849,1276131
11/8/20,263503,2996,3471,33,14820,1290951
12/8/20,266498,2995,3513,42,14751,1305702
13/8/20,269115,2617,3557,44,13162,1318864
14/8/20,271881,2766,3591,34,12856,1331720
15/8/20,274525,2644,3625,34,12891,1344611
16/8/20,276549,2024,3657,32,10018,1354629
17/8/20,279144,2595,3694,37,12523,1367152
18/8/20,282344,3200,3740,46,14630,1381782
19/8/20,285091,2747,3781,41,14678,1396460
20/8/20,287959,2868,3822,41,14059,1410519
21/8/20,290360,2401,3861,39,12943,1423462
22/8/20,292625,2265,3907,46,11356,1434818
23/8/20,294598,1973,3941,34,10801,1445619
24/8/20,297083,2485,3983,42,13382,1459001
25/8/20,299628,2545,4028,45,14153,1473154
26/8/20,302147,2519,4082,54,15070,1488224
27/8/20,304583,2436,4127,45,15124,1503348
